name,discount_in_percent,price_in_brl,rating_in_percent,end_time_in_seconds,start_time_in_second,release_time_in_second
ONE DAY for Ched,78,1.84,47.26,1636999200,1636394807,1410480000
UNLOVED,50,5.44,74.07,1636999200,1636394807,1475107200
The Sun and Moon,80,2.79,78.73,1636999200,1636394807,1415923200
Icewind Dale: Enhanced Edition,70,11.09,85.41,1636999200,1636394810,1414627200
Silence of the Sleep,83,1.78,72.05,1637085600,1635872723,1412121600
Might & Magic® Heroes® VII,75,22.49,52.95,1636912800,1636394810,1443484800
SteamWorld Heist,80,5.79,92.01,1637172000,1636394810,1465257600
1953: NATO vs Warsaw Pact,90,3.69,32.59,1637604000,1636394810,1415664000
Fire: Ungh’s Quest,90,1.99,80.39,1637690400,1636480887,1428537600
If My Heart Had Wings,80,5.59,88.72,1636999200,1636394810,1372377600
Out of Reach,80,6.39,57.52,1636999200,1636394810,1531440000
Deadstone,75,3.99,71.57,1637604000,1636394810,1415750400
BloodNet,75,3.49,50.0,1636999200,1636394810,725846400
Potatoman Seeks the Troof,66,2.85,71.04,1637085600,1635872726,1417564800
Master Spy,90,1.99,75.36,1636999200,1636394810,1441670400
Phoenix Force,50,1.14,78.85,1636999200,1636394810,1415836800
Mike was Сursed,80,4.97,65.36,1636999200,1636394810,1524096000
Darkness Assault,50,1.14,48.74,1636740000,1635527122,1423180800
ADOM (Ancient Domains Of Mystery),35,18.19,82.76,1636740000,1636182316,1447632000
Tales of Aravorn: Seasons Of The Wolf,50,22.99,70.41,1636999200,1636394810,1416009600
NEKOPARA Vol. 1,60,10.5,93.41,1636740000,1636182313,1419811200
Braveland Wizard,75,4.14,73.5,1636999200,1636394810,1417651200
1931: Scheherazade at the Library of Pergamum,89,1.19,65.14,1636999200,1636394810,1427328000
Angels of Fasaria: Version 2.0,25,8.16,42.2,1636999200,1636394810,1418083200
Race.a.bit,80,3.99,65.66,1637172000,1636394810,1457568000
Zombie Vikings,80,4.79,72.51,1637172000,1636394811,1449446400
The Mims Beginning,65,11.19,71.64,1636999200,1636394811,1421193600
Marble Duel: Sphere-Matching Tactical Fantasy,85,4.34,61.71,1636740000,1636182313,1447286400
Strategy & Tactics: Wargame Collection,75,4.99,65.41,1636740000,1636182312,1461283200
Ratz Instagib,80,3.59,84.68,1637172000,1636394811,1469577600
Pixel Heroes: Byte & Magic,80,3.99,73.28,1637172000,1636394811,1423180800
